UID,Ack,Age,Gender,Education,WorkStatus,Country,UnderstandingOfPowerGrid,UnderstandingOfPowerGridSecurity,SharedExperience,Experience,PreQ1RemoteAccess,PreQ1RemoteAccessOther,PreQ1RemoteAccessElaborate,PreQ1RemoteAccessElaborateOther,PreQ1FDI,PreQ1FDIOther,PreQ1FDIElabourate,PreQ1FDIElabourateOther,PreQ2DER,PreQ2DEROther,PreQ2DERElabourate,PreQ2DERElabourateOther,PreQ2DERThreat,PreQ2DERThreatOther,PreQ2DERThreatElabourate,PreQ2DERThreatElabourateOther,PreQ3WAMS,PreQ3WAMSOther,PreQ3WAMSElabourate,PreQ3WAMSElabourateOther,PreQ3Attack,PreQ3AttackOther,PreQ3AttackElabourate,PreQ3AttackElabourateOther,PreQ4IEDAttack,PreQ4IEDAttackOther,PreQ4IEDAttackElabourate,PreQ4IEDAttackElabourateOther,PreQ4IEDAttackLine,PreQ4IEDAttackLineOther,PreQ4IEDAttackLineElabourate,PreQ4IEDAttackLineElabourateOther,PostQ1ARPSpoofing,PostQ1ARPSpoofingOther,PostQ1ARPSpoofingElabourate,PostQ1ARPSpoofingElabourateOther,PostQ1ARPImpact,PostQ1ARPImpactOther,PostQ1ARPImpactElabourate,PostQ1ARPImpactElabourateOther,PostQ2BlackEnergy,PostQ2BlackEnergyOther,PostQ2BlackEnergyElabourate,PostQ2BlackEnergyElabourateOther,PostQ2BlackEnergyAttackMethod,PostQ2BlackEnergyAttackMethodOther,PostQ2BlackEnergyAttackMethodElabourate,PostQ2BlackEnergyAttackMethodElabourateOther,PostQ3AMI,PostQ3AMIOther,PostQ3AMIElabourate,PostQ3AMIElabourateOther,PostQ3DataIntegrity,PostQ3DataIntegrityOther,PostQ3DataIntegrityElabourate,PostQ3DataIntegrityElabourateOther,PostQ4ExposedVPN,PostQ4ExposedVPNOther,PostQ4ExposedVPNElabourate,PostQ4ExposedVPNElabourateOther,PostQ4ExposedVPNImpact,PostQ4ExposedVPNImpactOther,PostQ4ExposedVPNImpactElabourate,PostQ4ExposedVPNImpactElabourateOther,post_training,pre_training,Score,totalclicks,Response Type,Start Date (UTC),timetaken,Submit Date (UTC),Network ID,Tags
k6ud8j8sxw9v5trt78b0k6ud8op1yeux,1,35 - 50 Yrs,Male,Post Graduate,Employed,Thailand,1,1,1,"Sr Director for a company in Energy sector for last 25 years, 4 years experience as Director - Info-security",Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Secure control methodologies,,It secures commands and controls against unauthorized changes,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Man-in-the-Middle (MiTM) Attack,,DoS will prevent receiving real time data at control center,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Implementing frequency hopping spread spectrum (FHSS),,It prevents interception by rapidly changing transmission frequencies,,Time-stamping all transmitted data,,It associates a verifiable time with data creation,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,51,44,0,0,completed,4/8/2024 12:22,0:25,4/8/2024 12:47,ff3b6e9ca6,
l122uivkupfh1nsg1m6p3l122uiv3qxr,1,25 - 35 Yrs,Male,Graduate,Employed,Thailand,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Enforcing IEEE 1815 (DNP3) with secure authentication,,It is specifically designed for utility communications,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Time Synchronization Attack,,Time Synchronization is critical for all applications,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,Altering of sensed voltage and current measurements by relays,,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Social engineering,,It bypasses most conventional security measures,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Lack of configuration management policy,,The operator did not know what tool could be downloaded or installed,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,Logs are essential to trace back past events,,49,37,0,0,completed,4/8/2024 12:18,0:30,4/8/2024 12:49,2fe9010502,
ki6l23wgflei1lztyauki6l23wq17gz9,1,35 - 50 Yrs,Male,Doctorate,Employed,Thailand,1,1,1,research on electric power grid resilience & interdependencies mapping,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Time Synchronization Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,IID (Instantiated IED Description),,IID file defines the configuration of an IED for a specific project.,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unexpected opening of circuit breakers, leading to instability",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It will just steal login credentials,,Social engineering,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,61,53,0,0,completed,4/8/2024 12:07,0:35,4/8/2024 12:43,2fe9010502,
v03gt81pdkn8spl6v033p5gsfb6rzwrp,1,35 - 50 Yrs,Male,Graduate,Employed,Thailand,1,1,1,project manager for grid grid EV project,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Enforcing IEEE 1815 (DNP3) with secure authentication,,It is specifically designed for utility communications,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise PDC,,PDC physical access is easy as it is not protected by proper authorization,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Alteration of voltage or current setpoints, risking equipment damage",,It could cause long-term damage to infrastructure,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Regular checksum validations,,It checks for data corruption during transmission,,Lack of inventory management policy,,The security team did not know what software was in their inventory,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,39,33,0,0,completed,4/8/2024 12:05,0:34,4/8/2024 12:40,ff3b6e9ca6,
xetnt426c5daqu5lcxetn6wbh48ty8s5,1,25 - 35 Yrs,Male,Post Graduate,Employed,Thailand,1,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It ensures data integrity and confidentiality,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise one or multiple PMUs,,Physical access to the link is easy to achieve,,ICD (IED Capability Description),,IID file defines the configuration of an IED for a specific project.,,PLDF.DifAClc.LoSet,,PTRC is related to Protection Trip Conditioning,,IP whitelisting of incoming connections for authorized clients,,It restricts network access to trusted,,"Alteration of voltage or current setpoints, risking equipment damage",,It poses a direct threat to system stability,,Identifying and patching vulnerabilities within ICS systems,,It will launch a DDoS attack only,,Direct network intrusion,,It offers stealthy access to network systems,,Application of whitelisting for all connecting devices,,It restricts device connections to those explicitly allowed,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,The security team did not know what software was in their inventory,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,OT security training educates authenticated users on cyber threats,,40,34,0,0,completed,4/8/2024 12:05,0:41,4/8/2024 12:46,3b0ab70096,
ca7ubdrpjbocaw0ymuca7ubdrs45ax3a,1,25 - 35 Yrs,Male,Graduate,Employed,Vietnam,0,0,,,Strict password policies for user authentication,,It provides the most robust authentication mechanism,,Secure control methodologies,,It provides multiple data sources for verification,,Implementation of TLS/SSL for data encryption in transit,,It is specifically designed for utility communications,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise PDC,,Physical access to the link is easy to achieve,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,RBRF.OpE,,PTRC is related to Protection Trip Conditioning,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,The security team did not know what software was in their inventory,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,OT security training educates authenticated users on cyber threats,,54,32,0,0,completed,4/8/2024 8:42,0:47,4/8/2024 9:29,3b0ab70096,
4lfg5jrmyan74ke4l3xu30uqf0tl3cth,1,18-25 Yrs,Female,Graduate,Employed,Vietnam,1,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Man-in-the-Middle (MiTM) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise wired links in between,,Physical access to the link is easy to achieve,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Alteration of voltage or current setpoints, risking equipment damage",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It ensures that only verified devices can communicate.,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Lack of inventory management policy,,Inadequate policy can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,51,37,0,0,completed,4/8/2024 8:22,1:09,4/8/2024 9:32,892aa74257,
92romah5l7xmkuuvknu92roml450b75a,1,25 - 35 Yrs,Female,Graduate,Employed,Vietnam,1,0,,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It provides multiple data sources for verification,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PTRC.Tr.General,,PBDF is related to Bus bar protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It poses a direct threat to system stability,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Social engineering,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate policy can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,52,35,0,0,completed,4/8/2024 8:22,1:10,4/8/2024 9:32,2fe9010502,
zj5i6xuuq28qpvpi1r3zj5i6zxaj3055,1,18-25 Yrs,Male,Post Graduate,Employed,Vietnam,1,1,1,working as instrumentation engineering in power grid,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It secures commands and controls against unauthorized changes,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise PDC,,PDC physical access is easy as it is not protected by proper authorization,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,RBRF is related to Breaker Failure protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unexpected opening of circuit breakers, leading to instability",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Social engineering,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,62,39,0,0,completed,4/8/2024 8:22,1:03,4/8/2024 9:25,2fe9010502,
n5tnhdhz738ln2x44yn5tnhdhf1q62jj,1,25 - 35 Yrs,Female,Graduate,Employed,Vietnam,1,0,,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise wired links in between,,"A router is a link between commercial and control systems, exposed to the internet",,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,RBRF.OpE,,PBDF is related to Bus bar protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It bypasses most conventional security measures,,Encryption of data at transit using AES-256,,It restricts device connections to those explicitly allowed,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate policy can lead to such problems,,Logs were not analyzed for anomalies,,Logs are essential to trace back past events,,54,36,0,0,completed,4/8/2024 8:22,1:10,4/8/2024 9:32,2fe9010502,
